original_order,fishery_id,target_species,msc_certification,recorded_fishery_closure,host_country,percent_of_gdp_from_fishing,poverty_index,human_development_index,institutional_stability,corruption,catch_shares,catch_share_types,itq,ivq,ieq,iq,turf,coop,mpa,gear_type,short_catch_use,geographic_range_of_fishing_acti,processed,profit_sharing,cooperative_administration,coharvest,cooperative_gear_restrictions,cooperative_size_limit,gear_sharing,direct_enforcement,codified_penalties,temporal_no_take,spatial_no_take,restocking,habitat_restoration,research_support,information_sharing,vessels_coop,short_participants,financial_services,sea_level_vulnerability,sea_temp_vulnerability,ocean_acidification_vulnerability,ozone_uv_vulnerability,recovery_time,recovery_potential ,,
1,1,jacks,FALSE,NA,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,artisanal,local market,1.06 km2,FALSE,FALSE,TRUE,NA,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,NA,100,NA,2.4,2.8,1.1,0.8,1.1,0.21,,
2,1,bignose unicornfish,FALSE,NA,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,hook and line,local market,1.06 km2,NA,FALSE,TRUE,NA,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,NA,100,NA,2.4,2.8,1.1,0.8,1.1,0.21,,
3,2,new zealand southern scallop,FALSE,TRUE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,dredge,export,"9,631 km2",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,31,NA,TRUE,2.2,0.5,0.1,0.3,0.8,0.43,,
4,3,red crab,FALSE,FALSE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trap,export,large,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
5,3,spider crab,FALSE,FALSE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trap,export,large,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,2,2.5,1.7,1.9,1.2,0.14,,
6,3,king crab,FALSE,FALSE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trap,export,large,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,2,2.5,1.7,1.9,1.2,0.14,,
7,3,king crab,FALSE,FALSE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trap,export,large,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
9,5,surmullet,FALSE,NA,turkey,0.001375145,0.039,0.679,-0.882407689,4.4,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,gillnet/entangling net/long-line,local market,"central aegean coast of turkey, in vicinity of port of foca port",FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,126,TRUE,2,2.5,1.7,1.9,0.7,0.5,,
10,5,porgy,FALSE,NA,turkey,0.001375145,0.039,0.679,-0.882407689,4.4,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,gillnet/entangling net/long-line,local market,"central aegean coast of turkey, in vicinity of port of foca port",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,126,TRUE,1.5,2.9,2.5,1.8,1.1,0.21,,
11,6,cod georges bank,FALSE,TRUE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,hook and line,NA,"large region along the georges bank, new england. see source for map.",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,19,58,FALSE,1.5,2.9,2.5,1.8,1.1,0.21,,
12,7,brown mussel,FALSE,NA,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,FALSE,turf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hand,NA,small,FALSE,NA,TRUE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,23,FALSE,3,2.4,1.2,0.2,1.1,0.21,,
13,7,rabbitfish,FALSE,NA,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,FALSE,turf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,trap,NA,small,FALSE,NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,23,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
14,8,northern shrimp,FALSE,FALSE,sweden,0.000444941,NA,0.885,1.10030043,9.2,TRUE,"ivq, turf, iq",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,trawl,NA,"gullmar fjord, in the south western coast of sweden",TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,NA,NA,2,2.5,1.7,1.9,1.2,0.14,,
15,9,penaeid shrimp,FALSE,FALSE,sri lanka,0.008807316,0.021,0.658,-1.328276942,3.1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,seine,NA,"mouth of negombo lagoon, sri lanka",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,299,TRUE,2,2.5,1.7,1.9,0.8,0.43,,
16,10,walleye pollock,FALSE,TRUE,japan,0.00311174,NA,0.884,0.95398267,7.7,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,long-line,local market/export,up to about 20km from shore along the nishi region of hokkaido,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,51,NA,NA,0,2.3,2.1,0,0.7,0.5,,
17,11,anchovies,FALSE,NA,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,gillnet/entangling net,NA,"olotayan island, roxas city, capiz, philippines",NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,26,TRUE,2.4,2.8,1.1,0.8,1.1,0.21,,
18,11,big eye tuna,FALSE,FALSE,philippines,0.011054051,0.067,0.638,-1.41722644,2.4,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,hook and line,NA,"olotayan island, roxas city, capiz, philippines",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,26,TRUE,0,2.3,0,0,0.4,0.71,,
19,12,paua,FALSE,FALSE,new zealand,0.007380876,NA,0.907,0.991906163,9.4,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,dive,export,large,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,1.5,1.9,1.1,0.7,1.3,0.07,,
20,13,sakuraebi,FALSE,FALSE,japan,0.00311174,NA,0.884,0.95398267,7.7,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,trawl,local market,"suruga bay, japan",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,120,780,FALSE,0,2.3,0,0,0.4,0.71,,
21,14,north sea herring,TRUE,TRUE,scotland,0.003233577,NA,0.849,0.303868173,7.7,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,trawl,export,north-western regions of north sea,FALSE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,22,NA,FALSE,0,2.3,0,0,0.4,0.71,,
22,15,walleye pollock,FALSE,TRUE,japan,0.00311174,NA,0.884,0.95398267,7.7,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,gillnet,NA,large,TRUE,TRUE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,86,NA,NA,0,2.3,2.1,0,0.7,0.5,,
23,16,brown mussel,FALSE,NA,south africa,0.000689347,0.014,0.597,0.019270835,4.7,TRUE,"iq, itq, tae",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,hand,local market,"10.5 km stretch of coastline of the sokhulu subsistence mussel use zone, along the eastern coast of south africa",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,2.5,2.8,0.9,0.9,1.1,0.21,,
24,17,geoduck,FALSE,FALSE,canada,0.002366116,NA,0.888,1.015461068,8.7,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,dive,export,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,39,41,FALSE,2,2.5,1.7,1.9,1.2,0.14,,
25,18,blacklip abalone,FALSE,FALSE,australia,0.001736078,NA,0.937,0.834825671,8.7,TRUE,"itq,iteq, iq, cq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dive,local market/export,coastal waters from mouth of hopkins river east to the lakes entrance,FALSE,NA,TRUE,FALSE,NA,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,1.5,1.9,1.1,0.7,1.3,0.07,,
26,19,blacklip abalone,FALSE,FALSE,australia,0.001736078,NA,0.937,0.834825671,8.7,TRUE,"itq,iteq, iq, cq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dive,local market/export,coastal waters from mouth of hopkins river to border of victoria/south australia states,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,1.5,1.9,1.1,0.7,1.3,0.07,,
27,20,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,local market/export,large,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,87,FALSE,0,2.3,0,0,0.4,0.71,,
28,21,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,local market/export,large,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,0,2.3,0,0,0.4,0.71,,
29,22,invertebrates,FALSE,NA,solomon islands,0.305232903,NA,0.494,0.348724577,2.8,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,subsistence,large,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,230,761,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
30,22,finfish,FALSE,NA,solomon islands,0.305232903,NA,0.494,0.348724577,2.8,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,subsistence,large,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,230,761,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
31,23,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,trawl,local market/export,large,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,276,FALSE,0,2.3,0,0,0.4,0.71,,
32,24,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,trawl,local market/export,large,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,260,265,FALSE,0,2.3,0,0,0.4,0.71,,
33,25,summer flounder,FALSE,NA,united states,0.000393831,NA,0.902,0.40989339,7.5,FALSE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,trawl,local market,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,8,FALSE,1.5,2.9,2.5,1.8,1.1,0.21,,
34,26,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,trawl,local market/export,large,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,42,FALSE,0,2.3,0,0,0.4,0.71,,
35,27,cod,FALSE,TRUE,denmark,0.003234998,NA,0.866,1.035622076,9.3,TRUE,"ivq, iteq",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,trawl,local market/export,large,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,NA,FALSE,0,2.3,0,0,0.4,0.71,,
36,28,pacific whiting,TRUE,TRUE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,trawl,local market/export,large,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7,3,FALSE,0,2.3,0,0,0.4,0.71,,
37,29,pacific herring,FALSE,TRUE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,seine,export,medium,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5,9,TRUE,0,2.3,0,0,0.4,0.71,,
38,30,cod pacific,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl/hook and line,local market/export,large,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,16,NA,FALSE,0.4,0,2.3,2.1,0.8,0.43,,
39,30,yellowfin sole,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,export,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,16,NA,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
40,30,atka mackerel,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,NA,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,16,NA,FALSE,0,0.9,1.6,0,0.8,0.43,,
41,31,manila clam,FALSE,FALSE,italy,0.000290821,NA,0.854,0.529618692,4.3,TRUE,turf,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,artisanal/dredge,local market/export,medium,FALSE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,500,NA,2,2.5,1.7,1.9,0.8,0.43,,
42,32,octopus,FALSE,NA,madagascar,0.021616913,0.413,0.435,-0.669980778,3,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,artisanal/spear,local market/export,small,NA,TRUE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,99,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
43,33,ben tre hard clams,TRUE,FALSE,vietnam,0.018001123,0.075,0.572,0.192590175,2.7,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,artisanal/hand,local market/export,small,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,0,7586,NA,1.6,2.5,2.2,1.3,1.4,0,,
44,34,northern rockfish,FALSE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl/fixed gear,export,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,FALSE,1.5,2.9,2.5,1.8,1.1,0.21,,
45,34,pacific ocean perch,FALSE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl/fixed gear,export,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,FALSE,0,2.3,0,0,1.2,0.14,,
46,35,wahoo,FALSE,NA,guam,NA,NA,NA,0.423741237,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hook and line,local market,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,300,TRUE,2.4,3.3,1.8,1.5,1.2,0.14,,
47,35,mahi mahi,FALSE,NA,guam,NA,NA,NA,0.423741237,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hook and line,local market,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,300,TRUE,2.4,3.3,1.8,1.5,1.2,0.14,,
48,35,skipjack tuna bonita,FALSE,FALSE,guam,NA,NA,NA,0.423741237,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hook and line,local market/export,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,300,TRUE,2.4,3.3,1.8,1.5,1.2,0.14,,
49,36,alaska pollock,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,local market/export,large,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,FALSE,NA,NA,7,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
50,37,geoduck almeja,FALSE,NA,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,dive,export,upper gulf of california,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE,1.6,2.5,2.2,1.3,1.4,0,,
51,38,alaska pollock,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,local market/export,large,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,FALSE,NA,TRUE,19,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
