original_order,fishery_id,target_species,msc_certification,recorded_fishery_closure,host_country,percent_of_gdp_from_fishing,poverty_index,human_development_index,institutional_stability,corruption,catch_shares,catch_share_types,itq,ivq,ieq,iq,turf,coop,mpa,gear_type,short_catch_use,geographic_range_of_fishing_acti,processed,profit_sharing,cooperative_administration,coharvest,cooperative_gear_restrictions,cooperative_size_limit,gear_sharing,direct_enforcement,codified_penalties,temporal_no_take,spatial_no_take,restocking,habitat_restoration,research_support,information_sharing,vessels_coop,short_participants,financial_services,sea_level_vulnerability,sea_temp_vulnerability,ocean_acidification_vulnerability,ozone_uv_vulnerability,recovery_time,recovery_potential ,,
52,39,northern rockfish,FALSE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl/fixed gear,export,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,6,NA,FALSE,1.5,2.9,2.5,1.8,1.1,0.21,,
53,39,pacific ocean perch,FALSE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl/fixed gear,export,large,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,6,NA,FALSE,0,2.3,0,0,1.2,0.14,,
54,40,abulon amarillo,FALSE,NA,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,dive,export,NA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,22,152,FALSE,1.6,2,0,0.1,0.2,0.86,,
55,40,abulon azul,FALSE,NA,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,dive,export,NA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,22,152,FALSE,2.5,2.8,0.9,0.9,1.1,0.21,,
56,40,spiny lobster,TRUE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,trap,export,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,FALSE,TRUE,NA,22,152,FALSE,2.5,2.8,0.9,0.9,1.1,0.21,,
57,41,alaska pollock,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,local market/export,large,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,10,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
58,42,alaska pollock,TRUE,FALSE,united states,0.000393831,NA,0.902,0.40989339,7.5,TRUE,"itq, iteq, iq, cq, cfq, turf, coop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,trawl,local market/export,large,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,19,NA,FALSE,0,2.3,2.1,0,0.7,0.5,,
59,43,ben tre hard clams,TRUE,FALSE,vietnam,0.018001123,0.075,0.572,0.192590175,2.7,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,artisanal/hand,local market/export,small,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,0,7357,NA,1.6,2.5,2.2,1.3,1.4,0,,
60,44,pen shell,FALSE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,dive,NA,medium,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,38,FALSE,1.6,2.5,2.2,1.3,1.4,0,,
61,44,pen shell,FALSE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,dive,NA,medium,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,38,FALSE,1.6,2.5,2.2,1.3,1.4,0,,
62,47,loco,FALSE,TRUE,chile,0.006186538,NA,0.783,0.628275196,6.7,TRUE,"itq, turf",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,dive,export,small,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,36,112,FALSE,2.5,2.8,0.9,0.9,1.1,0.21,,
63,47,loco,FALSE,TRUE,chile,0.006186538,NA,0.783,0.628275196,6.7,TRUE,"itq, turf",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,dive,export,small,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7,25,TRUE,2.5,2.8,0.9,0.9,1.1,0.21,,
64,47,lapas,FALSE,TRUE,chile,0.006186538,NA,0.783,0.628275196,6.7,TRUE,"itq, turf",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,dive,NA,small,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,7,25,TRUE,2.5,2.8,0.9,0.9,1.1,0.21,,
65,48,yellowtailed emperor,FALSE,FALSE,fiji,0.061343067,NA,0.669,-0.220326941,NA,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,local market/subsistence,small,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,13,650,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
66,48,blackspot emperor,FALSE,FALSE,fiji,0.061343067,NA,0.669,-0.220326941,NA,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,local market/subsistence,small,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,13,650,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
67,48,cake urchin,FALSE,FALSE,fiji,0.061343067,NA,0.669,-0.220326941,NA,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,local market/subsistence,small,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,13,650,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
68,49,caribbean spiny lobster,FALSE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,artisanal,local market/export,large,FALSE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,55,80,FALSE,1.5,1.9,1.1,0.7,1.3,0.07,,
75,50,oyster,FALSE,FALSE,brazil,0.000756542,0.039,0.699,0.287988903,3.7,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,local market,cananéia estuary (mandira neighborhood extractive reserve),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,53,TRUE,3,2.4,1.2,0.2,1.1,0.21,,
76,51,sardinella,FALSE,FALSE,brazil,0.000756542,0.039,0.699,0.287988903,3.7,TRUE,turf,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"seine, artisanal",NA,arraial do cabo cape,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,150,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
77,51,little tuna,FALSE,FALSE,brazil,0.000756542,0.039,0.699,0.287988903,3.7,TRUE,turf,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"seine, artisanal",NA,arraial do cabo cape,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,150,FALSE,1.5,1.9,1.1,0.7,1.3,0.07,,
78,51,chub mackerel,FALSE,FALSE,brazil,0.000756542,0.039,0.699,0.287988903,3.7,TRUE,turf,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"seine, artisanal",NA,arraial do cabo cape,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,150,FALSE,2,2.5,1.7,1.9,1.2,0.14,,
79,52,brown shrimp,FALSE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,trawl,local market/export,local market/export,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,32,64,TRUE,1.9,2.8,0.9,0.9,0.8,0.43,,
80,52,blue shrimp,FALSE,FALSE,mexico,0.001641113,0.015,0.75,-0.683420257,3.3,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,trawl,local market/export,local market/export,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,32,64,TRUE,1.9,2.8,0.9,0.9,0.8,0.43,,
84,53,topshell,FALSE,TRUE,"korea, south",0.004291596,NA,0.877,0.21282693,5.5,TRUE,"turf, coop",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,dive,local market/export,253 km,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,5000,FALSE,1.5,1.9,1.1,0.7,1.3,0.07,,
85,53,abalone,FALSE,TRUE,"korea, south",0.004291596,NA,0.877,0.21282693,5.5,TRUE,"turf, coop",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,dive,local market/export,253 km,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,5000,FALSE,1.5,1.9,1.1,0.7,1.3,0.07,,
86,54,acanthuridae,FALSE,FALSE,papua new guinea,0.119068325,NA,0.431,-0.611518921,2.1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,artisanal,local market/subsistence,5.5 km^2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,600,FALSE,2.4,2.8,1.1,0.8,1.1,0.21,,
87,54,mulllidae goatfish,FALSE,FALSE,papua new guinea,0.119068325,NA,0.431,-0.611518921,2.1,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,artisanal,local market/subsistence,5.5 km^2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,600,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
88,55,tehuelche scallop,FALSE,TRUE,argentina,0.007978347,0.011,0.775,-0.016068056,2.9,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dive,local market/export,814 km^2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
89,56,bonga shad,FALSE,FALSE,"gambia, the",0.029948632,0.324,0.39,0.262985222,2.9,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,surrounding net,local market/export,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,112,NA,TRUE,NA,NA,NA,NA,N/A,#VALUE!,,
90,57,mangrove cockle,FALSE,FALSE,ecuador,0.006365071,0.009,0.695,-0.748772135,2.2,TRUE,turf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,hand,local market,5.2 km^2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,40,TRUE,3,2.4,1.2,0.2,1.1,0.21,,
91,58,king fish,FALSE,FALSE,oman,0.002606861,NA,NA,0.812206129,5.5,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,artisanal,local market/subsistence,al-batinah coast,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,4158,NA,FALSE,1.5,2.9,2.5,2.8,1.2,0.14,,
92,59,carribean spiny lobster,FALSE,FALSE,belize,0.045459535,0.024,0.694,0.077101238,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"dive, traps",export,all of belize coast,FALSE,TRUE,TRUE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,700,FALSE,2.6,2.1,1.4,0.5,1,0.29,,
93,59,queen conch,FALSE,FALSE,belize,0.045459535,0.024,0.694,0.077101238,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dive,export,all of belize coast,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,700,FALSE,2.6,2.1,1.4,0.5,1,0.29,,
94,60,kadal shrimp,FALSE,FALSE,india,0.002143763,0.296,0.519,-1.187927632,3.4,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,artisanal,NA,vallarpadam in central kerala (south india),FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,21,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
95,60,speckled shrimp,FALSE,FALSE,india,0.002143763,0.296,0.519,-1.187927632,3.4,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,artisanal,NA,vallarpadam in central kerala (south india),FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,21,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
96,60,indian white prawn,FALSE,FALSE,india,0.002143763,0.296,0.519,-1.187927632,3.4,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,artisanal,NA,vallarpadam in central kerala (south india),FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,21,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
97,61,whitespined sea urchin,FALSE,TRUE,st. lucia,0.003528,NA,NA,0.749771129,7,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,dive,local market/export,vieux-fort,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,2.6,2.1,1.4,0.5,1,0.29,,
100,63,NA,FALSE,FALSE,russia,0.002368682,0.005,0.719,-0.724890222,2.2,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,trawl,local market/export,sea of okhotsk and west- bering sea,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
101,64,gamitana,FALSE,FALSE,peru,0.01161175,0.085,0.723,-0.929119834,3.7,TRUE,"itq, turf",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,local market/subsistence,the tahuayo river and associated flood plain,NA,TRUE,TRUE,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,N/A,#VALUE!,,
102,64,paiche,FALSE,FALSE,peru,0.01161175,0.085,0.723,-0.929119834,3.7,TRUE,"itq, turf",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,artisanal,local market/subsistence,reserva communal tamishiyacu-tahuayo,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,N/A,#VALUE!,,
103,65,pejerrey,FALSE,FALSE,peru,0.01161175,0.085,0.723,-0.929119834,3.7,TRUE,"itq, turf",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,gillnet/entangling net,local market/subsistence,lake titicaca,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,20,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
104,65,NA,FALSE,FALSE,peru,0.01161175,0.085,0.723,-0.929119834,3.7,TRUE,"itq, turf",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,gillnet/entangling net,local market/subsistence,lake titicaca,NA,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,20,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
105,65,ipsi,FALSE,FALSE,peru,0.01161175,0.085,0.723,-0.929119834,3.7,TRUE,"itq, turf",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,gillnet/entangling net,local market/subsistence,lake titicaca,NA,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,20,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
106,66,black clam,FALSE,FALSE,india,0.002143763,0.296,0.519,-1.187927632,3.4,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,artisanal,subsistence,24000 km^2,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1445,4533,TRUE,3,2.4,1.2,0.2,1.1,0.21,,
107,67,tilapia,FALSE,FALSE,malawi,NA,0.384,0.385,-0.058973646,3.3,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,artisanal,local market,aby lagoon,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,N/A,#VALUE!,,
108,67,straightfin barb,FALSE,FALSE,malawi,NA,0.384,0.385,-0.058973646,3.3,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,artisanal,local market,aby lagoon,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,N/A,#VALUE!,,
109,68,bonga,FALSE,FALSE,cote d'ivoire,0.002931117,0.32,0.397,-1.52873426,2.1,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,artisanal,local market,424 km ^2,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,1.2,0.14,,
110,69,dover sole,FALSE,FALSE,netherlands,0.000609631,NA,0.89,0.946777616,8.9,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,trawl,local market/export,"north sea, south of 55 degreesn, outside of 12 mile zone closest to shore",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,363,1694,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
111,69,plaice,FALSE,FALSE,netherlands,0.000609631,NA,0.89,0.946777616,8.9,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,trawl,local market/export,"north sea, both north and south of 55 degrees n, outside of 12 miles closest to shore",NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,363,1694,FALSE,2.2,0.5,0.1,0.3,0.8,0.43,,
112,70,nile perch,FALSE,FALSE,tanzania,0.002071486,0.367,0.398,0.082915831,2.6,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,gillnet,export,"lake victoria, likely limited to tanzania side",NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54010,159393,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
113,70,dagaa,FALSE,FALSE,tanzania,0.002071486,0.367,0.398,0.082915831,2.6,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,seine,local market/export,"lake victoria, likely limited to tanzania side",NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54010,159393,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
114,70,nile tilapia,FALSE,FALSE,tanzania,0.002071486,0.367,0.398,0.082915831,2.6,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,gillnet,local market,"lake victoria, likely limited to tanzania side",NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54010,159393,FALSE,NA,NA,NA,NA,N/A,#VALUE!,,
115,71,snow crab,FALSE,FALSE,canada,0.002366116,NA,0.888,1.015461068,8.7,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,trap,export,large,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,725,FALSE,2,2.5,1.7,1.9,1.2,0.14,,
