Original_Order,Entered_By,Fishery_ID,Umbrella_Organization,Number_of_species,Target_species,Complete_Name,FB_K__1_yr_,FBK_Category,FB_Loo__cm_,FB_Habitat,FB_Migration,FB_Price,FB_Price_Quality,FB_Environment,FB_Trophic,Fish_type,Habitat,Habitat_2,Fished_Habitat,Diet,Species_growth,Adult_movement,Discrete_Movement,Migratory,Forms_aggregations,Consistent_spawning_location,A_in_fishery,MSC_certification,Stock_assessment_,Recorded_Fishery_Closure,Year,Spawning_season,Larval_dispersal_potential,Known_spatial_structure_,Host_Country,Population,Population_growth_rate_,GDP_2009__US_,GDP_from_fishing__US_,A__of_GDP_from_Fishing,Fishery_subsidies_prominent,Subsidy_as_a___of_landed_value,Poverty_index_,Human_Development_Index,Polity_,Institutional_stability,Rule_of_law,Contract_enforcement_Rank,Corruption,Catch_shares,Catch_Share_Types,itq,ivq,ieq,iq,turf,Co_op,Open_access,Limited_entry,tac,Effort_limit,Trip_limit,Size_limit,Season,Gear,mpa,Sex,Species_value,unit_of_value,Composite_Price,Gear_type,Gear_Type_Short,Use_of_catch,Short_catch_use,Species_value_fluctuations,Geographic_range_of_fishing_acti,range_spatially_defined_,Short_Range,Home_Port,Processed,Cooperative_present,Nested_Fishery,Programs_for_Co_op_Formation,Marketing,Profit_Sharing,Cooperative_Administration,co_harvest,Cooperative_TAC,Cooperative_Gear_Restrictions,Cooperative_Size_Limit,Gear_sharing,Direct_Enforcement,Codified_Penalties,Temporal_No_Take,Spatial_No_Take,Restocking,Habitat_Restoration,Gear_Shift,By_catch_avoidance,Research_support,Information_sharing,Coop_Behaviors,Co_op_form_date,Vessels__co_op_,Short_Vessels,Participants__co_op_,Short_participants,Landings__co_op_,Landing_units,Short_landings,Fishing_season__co_op_,Ecosystem_Engineering,Reporting,Spatial,Quota,Temporal,Gear0,Gov_t_Ambivalent,Gov_t_Undermining,Gov_t_Supportive,Degree_of_Co_management,Transfer_Rights,Services_provided_,legal_protection__standing,Enforcement_,Support_of_Voluntary_Regs,Financial_Services,Information_support,Conditions_for_cooperative_exist,Sunset_Clause,OECD,oneper,sea_level_vulnerability,sea_temp_vulnerability,ocean_acidification_vulnerability,ozone_uv_vulnerability,recovery_time,recovery_potential 
1,,1,0,999,Jacks,Carangidae sp.,,,,,,,,,,Finfish - Reef,coral reef,reef-associated,coral reef,Carnivore,Medium,10--100,100,,0,,,0,0,,,,,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,,,Artisanal,Artisanal,Local market,Local market,,1.06 km2,1,1,Apo Island,0,1,0,,0,0,1,,0,1,,,1,,0,1,,,1,0,1,,6,1982,,,100,100,,,,,,,2,0,0,0,0,0,1,,0,1,1,,1,,1,0,0,0,1,2.4,2.8,1.1,0.8,1.1,0.21
2,,1,0,999,Bignose unicornfish,Naso vlamingii,0.263999999,Medium,60,reef-associated,0,medium,Very questionable: based on ex-vessel price for species in this family,tropical,0,Finfish - Reef,coral reef,reef-associated,coral reef,Omnivore,Medium,1--10,10,,1,1,,0,0,,,0,90,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Medium,,medium,Hook and line,Hook and line,Local market,Local market,,1.06 km2,1,1,Apo Island,,1,0,,0,0,1,,0,1,,,1,,0,1,,,1,0,1,,6,1982,,,100,100,,,,,,,2,0,0,0,0,0,1,,0,1,1,,1,,1,0,0,0,0,2.4,2.8,1.1,0.8,1.1,0.21
3,,2,0,1,New Zealand southern scallop,Pecten novaezelandiae,,,,,,,,,,Molluscs,subtidal soft bottom,subtidal soft bottom,,Filter Feeder,Medium,0,0,0,1,0,,0,1,1,1981,1,Jun-70,1,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,1,0,0,1,1,0,1,1,1,1,,0,13.47,NZ$/kg,Low,Dredge,Dredge,Export,Export,,"9,631 km2",1,1,,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,10,1994,31,31,,,65,tonnes biomass,65,0,0,2,1,1,0,0,0,0,1,,1,1,1,1,1,1,0,1,0,1,1,2.2,0.5,0.1,0.3,0.8,0.43
4,,3,0,5,Red crab,Chaceon bicolor,,,,,,,,,,Crustaceans,soft slope (200-2000m),soft slope,,,,1--10,10,,,,,0,0,0,,0,,,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,,1,1,0,0,,,,Trap,Trap,Export,Export,0,Large,0,0,,,1,0,,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,,,,,,,,0,0,1,0,1,0,0,0,0,1,,1,1,1,,,0,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
5,,3,0,5,Spider crab,Jacquinotia  edwardsii,,,,,,,,,,Crustaceans,Intertidal/soft shelf (30-200m),,,Invertivore,,1--10,10,1,1,,,0,0,0,,1,,,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,,1,1,0,0,,,,Trap,Trap,Export,Export,,Large,0,0,,,1,0,,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,,,,,29.592,tonnes biomass,29.592,0,0,1,0,1,0,0,0,0,1,,1,1,1,,,0,1,0,0,1,0,2,2.5,1.7,1.9,1.2,0.14
6,,3,0,5,King crab,Lithodes murrayi,,,,,,,,,,Crustaceans,soft shelf (30-200m),,,Omnivore,,1--10,10,1,1,,,0,0,0,,1,,,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,,1,1,0,0,,,,Trap,Trap,Export,Export,,Large,0,0,,0,1,0,,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,,,,,0.538333333,tonnes biomass,0.538333333,0,0,1,0,1,0,0,0,0,1,,1,1,1,,,0,1,0,0,1,0,2,2.5,1.7,1.9,1.2,0.14
7,,3,0,5,King crab,Neolithodes brodiei,,,,,,,,,,Crustaceans,soft slope (200-2000m),,,Omnivore,,1--10,10,1,1,,,0,0,0,,1,,,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,"ITQ, QMS",1,0,0,0,0,0,0,1,1,0,0,,1,1,0,0,,,,Trap,Trap,Export,Export,,Large,0,0,,0,1,0,,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,7,2007,,,,,0.538333333,tonnes biomass,0.538333333,0,0,1,0,1,0,0,0,0,1,,1,1,1,,,0,1,0,0,1,0,0,2.3,2.1,0,0.7,0.5
9,,5,0,15,Surmullet,Mullus surmuletus,0.49000001,Medium,40,demersal,oceanodromous,very high,Reliable: based on ex-vessel price for this species,subtropical,3.42,Finfish-Benthic,"Benthic hard and soft bottom, 5-400 m",,,Carnivore,Medium,10--100,100,1,,,,0,,,,1,,0,Turkey,78785548,1.24,7.29E+11,1002618406,0.001375145,0,0.07283879,0.039,0.679,7,-0.882407689,0.121870318,25,4.4,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High,,high,Gillnet / Entangling net / Long-line,Gillnet,Local market,Local market,,"Central Aegean coast of turkey, in vicinity of port of Foca port",0,0,"Foca, Turkey",0,1,1,0,0,0,1,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1992,,,126,126,,,,,0,0,0,0,0,0,0,0,1,,0,0,0,1,,1,0,0,0,1,1,2,2.5,1.7,1.9,0.7,0.5
10,,5,0,15,Porgy,Pagrus pagrus,0.136999995,Low,91,benthopelagic,oceanodromous,very high,Reliable: based on ex-vessel price for this species,subtropical,3.65,Finfish-Benthic,hard bottom (0-250m),,,Carnivore,Medium,1--10,10,0,0,0,,0,,,,1,23-32,0,Turkey,78785548,1.24,7.29E+11,1002618406,0.001375145,0,0.07283879,0.039,0.679,7,-0.882407689,0.121870318,25,4.4,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Very high,,high,Gillnet / Entangling net / Long-line,Gillnet,Local market,Local market,,"Central Aegean coast of turkey, in vicinity of port of Foca port",0,0,"Foca, Turkey",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1992,,,126,126,,,,,0,0,0,0,0,0,0,0,1,,0,0,0,1,,1,0,0,0,1,0,1.5,2.9,2.5,1.8,1.1,0.21
11,,6,0,999,Cod - Georges Bank,Gadus morhua,0.090000004,Low,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,hard shelf,,hard shelf,Carnivore,High,100-1000,1000,1,1,0,,0,1,1,1995,1,100,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,1,0,0,1,0,,1,1,0,1,1,1,1,0,Medium,,medium,Hook and line,Hook and line,,,,"Large region along the georges bank, New England. See source for map.",0,0,,,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,4,2004,19,19,58,58,27,tonnes biomass,27,01-dic,0,1,1,1,1,0,0,0,1,,1,1,1,,0,0,1,1,0,1,1,1.5,2.9,2.5,1.8,1.1,0.21
12,,7,0,9,Brown mussel,Modiolus metcalfei,,,,,,,,,,Molluscs,mangrove,,mangrove,Filter Feeder,Medium,0,0,0,1,0,,0,0,,,0,,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,0,TURF,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,,,,Hand,Hand,,,,Small,0,0,Dulangan,0,1,0,,1,,1,0,,1,,0,1,1,1,0,0,0,0,0,0,1,7,1993,,,23,23,,,,,,,0,0,0,0,1,0,0,,0,0,,0,,0,0,0,,0,1,3,2.4,1.2,0.2,1.1,0.21
13,,7,0,9,Rabbitfish,Siganus corallinus,,,35,reef-associated,0,high,Questionable: based on ex-vessel price for species in this genus,tropical,2,Finfish - Reef,coral reef,,coral reef,Herbivore,High,1--10,10,0,0,0,,0,0,,,,,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,0,TURF,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,High,,high,Trap,Trap,,,,Small,0,0,Dulangan,0,1,0,,1,,1,,,1,,0,1,1,1,0,0,0,0,0,0,1,5,1993,,,23,23,,,,,,,0,0,0,0,1,0,0,,0,0,,0,,0,0,0,,0,0,2.4,2.8,1.1,0.8,1.1,0.21
14,,8,0,1,Northern shrimp,Pandalus borealis,,,,,,,,,,Crustaceans,soft shelf/soft slope,,fjord; soft shelf/soft slope,Filter Feeder,Medium,1--10,10,0,,0,,0,,0,,1,60,0,Sweden,9088728,0.16,4.45E+11,197820976.3,0.000444941,0,0.123199539,,0.885,10,1.10030043,1.927146127,51,9.2,1,"IVQ, TURF, IQ",0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,12,$/kg,medium,Trawl,Trawl,,,,"Gullmar fjord, in the south western coast of Sweden",1,1,,1,1,0,,1,0,0,,0,1,1,0,0,0,0,0,0,0,1,,1,1,5,2004,6,6,,,9,tonnes biomass,9,0,0,1,1,0,0,0,0,0,1,,1,1,1,1,0,,,1,0,1,1,2,2.5,1.7,1.9,1.2,0.14
15,,9,1,999,Penaeid shrimp,Penaues indicus,,,,,,,,,,Crustaceans,shallow soft bottom,,Lagoon/coastal wetland,Planktivore,High,1--10,10,1,,,0,0,1,0,,0,09-dic,,Sri Lanka,21283913,0.93,48240000000,424864901.5,0.008807316,0,0.025177647,0.021,0.658,6,-1.328276942,-0.074976101,136,3.1,1,,0,0,0,0,1,0,0,1,,,,,0,,,,83,RS$/kg,low,Seine,Seine,,,1,"Mouth of Negombo lagoon, Sri Lanka",1,1,999,,1,1,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,999,,,299,299,174,tonnes biomass,174,0,0,,1,0,0,1,0,0,1,,0,1,1,1,1,1,,0,0,0,1,2,2.5,1.7,1.9,0.8,0.43
16,,10,1,1,Walleye pollock,Theragra chalcogramma,,,91,benthopelagic,non-migratory,low,Reliable: based on ex-vessel price for this species,polar,3.45,Finfish-Benthic,soft slope (200-2000m),,,Carnivore,Medium,100-1000,100,1,1,1,1,0,1,1,1953,1,Long distance,0,Japan,126475664,-0.28,5.39E+12,16775389752,0.00311174,0,0.0848478,,0.884,10,0.95398267,1.314984781,19,7.7,1,TURF,0,0,0,0,1,1,0,1,1,0,0,1,1,,0,0,Low,,low,Long-line,Long-line,Local market / Export,Local market/Export,1,Up to about 20km from shore along the Nishi region of Hokkaido,0,0,"Kumaishi, Toyohama, Otobe",0,1,1,,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,2,999,51,51,,,79.4,tonnes biomass,79.4,11-Feb,0,0,1,1,0,0,0,0,1,,0,1,1,,,,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
17,,11,0,15,Anchovies,Stolephorus heterolobus,,,,,,,,,,Finfish - Pelagic,coral reef/costal waters,,coral reef/costal waters,Planktivore,High,10--100,100,1,1,,,0,0,,,0,,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,1,1,0,,0,0,0,1,,0,Medium,,medium,Gillnet / Entangling net,Gillnet,,,,"Olotayan Island, Roxas City, Capiz, Philippines",1,1,Olotayan island,,1,0,,1,,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,9,1995,,,26,26,,,,,,,1,0,0,0,0,0,1,,,1,1,1,,1,1,,,0,1,2.4,2.8,1.1,0.8,1.1,0.21
18,,11,0,15,Big eye tuna,Thunnus obesus,,,250,pelagic-oceanic,oceanodromous,very high,Reliable: based on ex-vessel price for this species,subtropical,4.49,Finfish - Pelagic,deep water,,deep water,Carnivore,Medium,>1000,2000,1,1,0,,0,1,0,,0,,0,Philippines,101833938,1.9,1.89E+11,2090320980,0.011054051,0,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,1,TURF,0,0,0,0,1,0,1,1,0,,0,0,0,1,,0,Very high,,high,Hook and line,Hook and line,,,,"Olotayan Island, Roxas City, Capiz, Philippines",1,1,Olotayan island,,1,0,,1,,1,,0,1,0,1,1,0,1,0,0,0,1,0,0,1,6,1995,,,26,26,,,,,,,1,0,0,0,0,0,1,,,1,1,1,,1,1,,,0,0,0,2.3,0,0,0.4,0.71
19,,12,0,2,Paua,Haliotis iris,,,,,,,,,,Molluscs,rocky reef,,,Herbivore,Medium,0,0,0,1,0,,0,1,0,,0,9,1,New Zealand,4290347,0.88,1.38E+11,1018560844,0.007380876,0,0,,0.907,10,0.991906163,1.90990862,9,9.4,1,,1,0,0,0,0,0,0,1,1,0,0,1,,0,,0,33.15,NZ$/kg,high,Dive,Dive,Export,Export,1,Large,0,0,,0,1,0,,0,0,1,,1,0,1,0,1,0,1,1,1,0,0,0,1,1,6,,,,,,945,tonnes biomass,945,0,0,1,0,1,0,0,0,0,1,,1,1,1,1,,0,1,0,0,1,1,1.5,1.9,1.1,0.7,1.3,0.07
20,,13,0,1,Sakuraebi,Sergia lucens,,,,,,,,,,Crustaceans,deep water,,,Planktivore,High,1--10,10,1,1,1,1,0,0,0,,1,Long distance,0,Japan,126475664,-0.28,5.39E+12,16775389752,0.00311174,0,0.0848478,,0.884,10,0.95398267,1.314984781,19,7.7,1,TURF,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,13,US$/kg,high,Trawl,Trawl,Local market,Local market,1,"Suruga Bay, Japan",1,1,,1,1,0,,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,9,1967,120,120,780,780,2000,tonnes biomass,2000,,0,1,1,0,0,0,0,0,1,,0,1,1,0,,0,0,0,0,1,1,0,2.3,0,0,0.4,0.71
21,,14,1,2,North Sea herring,Clupea harengus,0.296000004,Medium,45,benthopelagic,oceanodromous,low,Reliable: based on ex-vessel price for this species,temperate,3.11,Finfish - Pelagic,Deep water,,Surface water,Planktivore,Medium,10--100,100,1,1,1,1,1,1,1,1975,1,160,0,Scotland,5194000,0.5,2.14E+11,693190156.7,0.003233577,0,0.207183161,,0.849,10,0.303868173,1.705874164,23,7.7,1,,0,0,0,1,0,0,0,1,1,0,0,,1,,1,0,Low,,low,Trawl,Trawl,Export,Export,,North-western regions of North Sea,0,0,Fraserburgh,0,1,1,,1,,,1,,,,0,,,,,,,,,1,1,6,2007,22,22,,,80000,tonnes biomass,80000,6-Sep,,,0,1,0,0,1,0,0,,,0,0,0,,0,0,0,,1,1,0,2.3,0,0,0.4,0.71
22,,15,0,1,Walleye pollock,Theragra chalcogramma,,,91,benthopelagic,non-migratory,low,Reliable: based on ex-vessel price for this species,polar,3.45,Finfish-Benthic,soft slope (200-2000m),,,Carnivore,Medium,100-1000,100,1,1,1,1,0,1,1,1990,1,Long distance,0,Japan,126475664,-0.28,5.39E+12,16775389752,0.00311174,0,0.0848478,,0.884,10,0.95398267,1.314984781,19,7.7,1,TURF,0,0,0,0,1,0,0,0,1,,0,0,0,0,1,0,1.8084,US$/kg,low,Gillnet,Gillnet,,,,Large,0,0,,1,1,0,,,1,1,,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1996,86,86,,,9200,tonnes biomass,9200,,0,1,1,1,0,0,0,0,1,,0,1,1,1,1,,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
23,,16,1,1,Brown mussel,Perna perna,,,,,,,,,,Molluscs,Rocky intertidal,,Rocky intertidal,Filter Feeder,High,0,0,0,1,0,,0,1,,,1,7,1,South Africa,49004031,-0.38,3.54E+11,244304663.4,0.000689347,0,0,0.014,0.597,9,0.019270835,0.056244327,86,4.7,1,"IQ, ITQ, TAE",0,0,0,0,1,1,0,1,1,1,1,,1,1,,,subsistence,,low,Hand,Hand,Local market,Local market,1,"10.5 km stretch of coastline of the Sokhulu subsistence mussel use zone, along the eastern coast of South Africa",0,0,999,0,1,0,,0,0,1,1,1,1,0,,1,0,1,1,0,0,1,0,1,1,8,1995,,,,,,,,9-May,0,1,1,0,0,0,0,0,1,,0,1,1,1,,1,1,,,0,1,2.5,2.8,0.9,0.9,1.1,0.21
