Original_Order,Entered_By,Fishery_ID,Umbrella_Organization,Number_of_species,Target_species,Complete_Name,FB_K__1_yr_,FBK_Category,FB_Loo__cm_,FB_Habitat,FB_Migration,FB_Price,FB_Price_Quality,FB_Environment,FB_Trophic,Fish_type,Habitat,Habitat_2,Fished_Habitat,Diet,Species_growth,Adult_movement,Discrete_Movement,Migratory,Forms_aggregations,Consistent_spawning_location,A_in_fishery,MSC_certification,Stock_assessment_,Recorded_Fishery_Closure,Year,Spawning_season,Larval_dispersal_potential,Known_spatial_structure_,Host_Country,Population,Population_growth_rate_,GDP_2009__US_,GDP_from_fishing__US_,A__of_GDP_from_Fishing,Fishery_subsidies_prominent,Subsidy_as_a___of_landed_value,Poverty_index_,Human_Development_Index,Polity_,Institutional_stability,Rule_of_law,Contract_enforcement_Rank,Corruption,Catch_shares,Catch_Share_Types,itq,ivq,ieq,iq,turf,Co_op,Open_access,Limited_entry,tac,Effort_limit,Trip_limit,Size_limit,Season,Gear,mpa,Sex,Species_value,unit_of_value,Composite_Price,Gear_type,Gear_Type_Short,Use_of_catch,Short_catch_use,Species_value_fluctuations,Geographic_range_of_fishing_acti,range_spatially_defined_,Short_Range,Home_Port,Processed,Cooperative_present,Nested_Fishery,Programs_for_Co_op_Formation,Marketing,Profit_Sharing,Cooperative_Administration,co_harvest,Cooperative_TAC,Cooperative_Gear_Restrictions,Cooperative_Size_Limit,Gear_sharing,Direct_Enforcement,Codified_Penalties,Temporal_No_Take,Spatial_No_Take,Restocking,Habitat_Restoration,Gear_Shift,By_catch_avoidance,Research_support,Information_sharing,Coop_Behaviors,Co_op_form_date,Vessels__co_op_,Short_Vessels,Participants__co_op_,Short_participants,Landings__co_op_,Landing_units,Short_landings,Fishing_season__co_op_,Ecosystem_Engineering,Reporting,Spatial,Quota,Temporal,Gear0,Gov_t_Ambivalent,Gov_t_Undermining,Gov_t_Supportive,Degree_of_Co_management,Transfer_Rights,Services_provided_,legal_protection__standing,Enforcement_,Support_of_Voluntary_Regs,Financial_Services,Information_support,Conditions_for_cooperative_exist,Sunset_Clause,OECD,oneper,sea_level_vulnerability,sea_temp_vulnerability,ocean_acidification_vulnerability,ozone_uv_vulnerability,recovery_time,recovery_potential 
24,,17,0,1,Geoduck,Panopea abrupta,,,,,,,,,,Molluscs,Soft shelf (30-200m),,,Filter Feeder,Medium,0,0,0,1,0,0,0,1,0,,1,40-50,1,Canada,34030589,0.79,1.56E+12,3700604749,0.002366116,0,0.147166086,,0.888,10,1.015461068,1.779242578,58,8.7,1,,0,1,0,0,0,0,0,1,1,,0,0,0,0,1,0,9,CAN$/lbs,medium,Dive,Dive,Export,Export,1,,0,0,,0,1,0,,1,1,1,1,1,,,0,0,0,1,1,0,0,0,0,1,,9,1981,39,39,41,41,4082,tonnes biomass,4082,,0,2,1,1,0,0,0,0,1,,1,1,1,1,,0,1,1,0,1,1,2,2.5,1.7,1.9,1.2,0.14
25,,18,0,2,Black-lip abalone,Haliotis rubra,,,,,,,,,,Molluscs,rocky reef,,rocky reef,Herbivore,Slow,0,0,0,1,0,,0,1,0,,1,02-abr,1,Australia,21766711,1.15,1.22E+12,2118015410,0.001736078,0,0.152656685,,0.937,10,0.834825671,1.727008739,16,8.7,1,"ITQ,ITEQ, IQ, CQ",1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,25,AUS$/kg,high,Dive,Dive,Local market / Export,Local market/Export,,Coastal waters from mouth of hopkins river east to the Lakes entrance,0,0,,0,1,,,,,1,0,1,,1,,,,1,1,0,0,0,0,1,1,6,1987,,,,,,,,0,0,1,0,1,0,0,0,0,1,,1,1,1,0,1,1,1,0,0,1,1,1.5,1.9,1.1,0.7,1.3,0.07
26,,19,0,2,Black-lip abalone,Haliotis rubra,,,,,,,,,,Molluscs,rocky reef,,rocky reef,Herbivore,Slow,0,0,0,1,0,,0,1,0,,1,02-abr,1,Australia,21766711,1.15,1.22E+12,2118015410,0.001736078,0,0.152656685,,0.937,10,0.834825671,1.727008739,16,8.7,1,"ITQ,ITEQ, IQ, CQ",1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,25,AUS$/kg,high,Dive,Dive,Local market / Export,Local market/Export,,Coastal waters from mouth of hopkins river to border of Victoria/South australia states,0,0,999,0,1,,0,0,1,1,0,1,0,1,,1,0,1,1,0,0,0,0,1,1,6,,,,,,,,,0,0,1,0,1,0,0,0,0,1,,1,1,1,0,1,1,1,0,0,1,1,1.5,1.9,1.1,0.7,1.3,0.07
27,,20,0,14,Cod,Gadus morhua,0.090000004,Low,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,,,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,2007,,,87,87,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
28,,21,0,14,Cod,Gadus morhua,,,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,,,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2007,,,,,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
29,,22,1,999,Invertebrates,Tridacna derasa,,,,,,,,,,Molluscs,coral reef,,coral reef,Filter Feeder,Medium,0,0,0,0,0,,0,,,,1,8-Oct,,Solomon Islands,571890,2.22,674000000,205726976.9,0.305232903,0,0.231550048,,0.494,8,0.348724577,-0.671715124,108,2.8,1,TURF,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,,,,,Artisanal,Artisanal,Subsistence,Subsistence,,Large,1,1,,0,1,1,,0,1,1,1,0,1,0,,0,0,0,0,0,0,0,0,1,0,2,,230,230,761,761,4.75,tonnes biomass,4.75,1,,,2,0,2,0,0,0,1,,,1,0,0,,0,0,0,,0,1,2.4,2.8,1.1,0.8,1.1,0.21
30,,22,1,999,Finfish,,,,,,,,,,,Finfish - Reef,,,,,,,,,,,,0,1,,,,,,Solomon Islands,571890,2.22,674000000,205726976.9,0.305232903,0,0.231550048,,0.494,8,0.348724577,-0.671715124,108,2.8,1,TURF,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,,,,,Artisanal,Artisanal,Subsistence,Subsistence,,Large,1,1,,0,1,1,,0,1,1,1,0,1,0,,0,0,0,0,0,0,0,0,1,0,5,,230,230,761,761,222.92,tonnes biomass,222.92,1,,,2,0,2,0,0,0,1,,,1,0,0,,0,0,0,,0,0,NA,NA,NA,NA,NA,NA
31,,23,0,14,Cod,Gadus morhua,,,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,Trawl,Trawl,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2007,,,276,276,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
32,,24,0,14,Cod,Gadus morhua,,,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,Trawl,Trawl,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2007,260,260,265,265,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
33,,25,0,1,Summer flounder,Paralichthys dentatus,,,94,demersal,oceanodromous,very high,Reliable: based on ex-vessel price for this species,temperate,4.49,Finfish-Benthic,Hard bottom shelf,,Hard bottom shelf,Carnivore,High,100-1000,1000,1,1,1,1,0,1,,,1,,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,0,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,2.06,US$/lbs,high,Trawl,Trawl,Local market,Local market,,Large,0,0,999,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2009,,,8,8,75,tonnes biomass,75,,0,,0,1,0,0,0,0,1,,0,1,1,,,0,1,,1,1,1,1.5,2.9,2.5,1.8,1.1,0.21
34,,26,0,14,Cod,Gadus morhua,,,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,Trawl,Trawl,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2007,,,42,42,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
35,,27,0,14,Cod,Gadus morhua,,,200,benthopelagic,oceanodromous,medium,Reliable: based on ex-vessel price for this species,temperate,3.73,Finfish-Benthic,Deep water,,Deep water,Carnivore,Medium,100-1000,1000,1,1,1,1,0,1,1,1990,1,,0,Denmark,5529888,0.25,3.05E+11,985380462.5,0.003234998,0,1.431231357,,0.866,10,1.035622076,1.871835991,29,9.3,1,"IVQ, ITEQ",1,0,0,0,0,0,0,1,1,1,,,,1,,,,,medium,Trawl,Trawl,Local market / Export,Local market/Export,,Large,0,0,999,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2007,20,20,,,,,,,0,,0,1,0,0,0,0,1,,1,1,1,,,0,1,1,1,1,1,0,2.3,0,0,0.4,0.71
36,,28,0,1,Pacific whiting,Merluccius productus,,,91,pelagic-oceanic,0,low,Reliable: based on ex-vessel price for this species,temperate,4.35,Finfish - Pelagic,Deep water,,Deep water,Carnivore,High,100-1000,1000,1,1,1,0,1,1,1,2002,1,,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",1,0,0,0,0,1,0,1,1,,,,1,,,,0.06,US$/lbs,low,Trawl,Trawl,Local market / Export,Local market/Export,,Large,0,0,"Seattle, Washington",1,1,1,1,1,0,0,1,0,0,0,,0,,1,1,0,0,,1,1,1,3,1997,7,7,3,3,35051,tonnes biomass,35051,,0,,0,1,0,1,0,0,1,,0,1,1,0,,0,1,,,1,1,0,2.3,0,0,0.4,0.71
37,,29,0,1,Pacific herring,Clupea harengus pallasi,,,,,,,,,,Finfish - Pelagic,Deep water,,Surface waters,Carnivore,High,10--100,100,1,1,1,1,0,0,1,"1999, 2000, 2002, 2004, 2005, 2006",1,,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,,,,1,1,0,0,0.5,US$/lbs,low,Seine,Seine,Export,Export,1,Medium,1,1,"Newport, Oregon",0,1,0,0,,1,0,1,0,0,0,1,0,,0,0,0,0,1,0,1,,5,1989,5,5,9,9,92.5,tonnes biomass,92.5,0.25,0,,1,1,1,1,0,0,1,,0,1,0,0,,1,1,0,1,1,1,0,2.3,0,0,0.4,0.71
38,Karly,30,0,6,Cod - Pacific,Gadus macrocephalus,0.200000003,Medium,119,demersal,oceanodromous,low,Reliable: based on ex-vessel price for this species,temperate,4.01,Finfish - Pelagic,,,,Carnivore,Medium,>1000,2000,1,1,1,1,1,1,0,,1,,,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0.384,US$/lbs,low,Trawl / Hook and line,Trawl / Hook and line,Local market / Export,Local market/Export,,Large,0,0,"Seattle, Washington",,1,1,1,0,0,1,1,1,0,0,0,0,,1,0,0,0,1,1,1,0,5,2006,16,16,7 companies,,,,,0.5,0,1,0,1,0,,0,0,1,,0,1,1,0,,0,1,0,0,1,1,0.4,0,2.3,2.1,0.8,0.43
39,Karly,30,0,6,Yellowfin sole,Limanda  aspera,,,,,,,,,,Finfish-Benthic,"Subtidal soft bottom, Soft shelf",,"Subtidal soft bottom, Soft shelf",Omnivore,Low,1--10,10,1,1,,,1,1,0,,1,,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,,US$/lbs,,Trawl,Trawl,Export,Export,,Large,0,0,"Seattle, Washington",0,1,1,1,0,0,1,1,1,0,0,0,0,,1,0,0,0,1,1,1,0,7,2006,16,16,7 companies,,,,,,0,1,0,1,0,,0,0,1,,0,1,1,0,,0,1,0,0,1,0,2.2,0.5,0.1,0.3,0.8,0.43
40,Karly,30,0,6,Atka mackerel,Pleurogrammus  monopterygius,,,,,,,,,,Finfish-Benthic,hard slope (200-2000m),,hard slope (200-2000m),Invertivore,Medium,10--100,100,1,1,1,1,1,1,0,,1,long distance,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0.108,US$/lbs,low,Trawl,Trawl,,,,Large,0,0,"Seattle, Washington",0,1,1,1,0,0,1,1,1,0,0,0,0,,1,0,0,0,1,1,1,0,7,2006,16,16,7 companies,,,,,0.58,0,1,0,1,0,,0,0,1,,0,1,1,0,,0,1,0,0,1,0,0,0.9,1.6,0,0.8,0.43
41,Karly,31,0,3,Manila clam,Ruditapes  philippinarum,,,,,,,,,,Molluscs,shallow soft bottom,,shallow soft bottom,Filter Feeder,,0,0,0,1,0,,0,,0,,1,14-28,1,Italy,61016804,0.42,2.04E+12,592401703.8,0.000290821,0,0.375713993,,0.854,10,0.529618692,0.388301534,157,4.3,1,TURF,0,0,0,1,1,1,0,1,,0,0,1,,1,0,0,,,,Artisanal / Dredge,Artisanal,Local market / Export,Local market/Export,,Medium,lagoon,1,Goro,0,1,1,0,1,1,1,1,,,1,,,,,,1,,0,0,1,,7,1930,,,500,500,,,,0.55,1,,1,0,0,0,0,0,1,,,1,1,1,,,,,,1,1,2,2.5,1.7,1.9,0.8,0.43
42,Karly,32,0,4,Octopus,Octopus cyanea,,,,,,,,,,Molluscs,,,,,,1--10,10,,,,,0,,,,,,,Madagascar,21926221,2.97,8330000000,180068883.3,0.021616913,0,0,0.413,0.435,0,-0.669980778,-0.735394093,154,3,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,1300,Ariary/kg,low,Artisanal / Spear,Artisanal,Local market / Export,Local market/Export,0,Small,0,0,Andavadoaka,,1,1,1,1,1,1,1,0,,0,1,1,,1,1,0,0,0,0,1,0,6,2005,,,99,99,,,,0.83,0,1,0,0,0,0,0,0,1,,0,,,0,,0,,,0,0,1,2.4,2.8,1.1,0.8,1.1,0.21
43,Karly,33,0,1,Ben Tre hard clams,Meretrix  lyrata,,,,,,,,,,Molluscs,soft benthic,,soft benthic,Filter Feeder,,0,0,,,,,1,,0,,,,,Vietnam,90549390,1.08,1.02E+11,1836114504,0.018001123,0,0.18490731,0.075,0.572,-7,0.192590175,-0.425830675,31,2.7,1,,0,0,0,0,1,0,0,1,1,0,,1,0,1,0,0,,US$/ton,low,Artisanal / Hand,Artisanal,Local market / Export,Local market/Export,,Small,0,0,Binh Dai District,1,1,1,1,0,1,1,0,,1,0,0,1,1,,,1,,0,0,1,1,7,2007,0,,7586,7586,1592,tonnes biomass,1592,1,1,1,1,1,0,0,0,0,1,,0,1,,,,,1,,,0,1,1.6,2.5,2.2,1.3,1.4,0
44,Karly,34,0,11,Northern rockfish,Sebastes polyspinis,0.151999995,Low,41,demersal,0,medium,Questionable: based on ex-vessel price for species in this genus,temperate,3.57,Finfish-Benthic,hard bottom (75-150m),,hard bottom / slopes (75-125m),Planktivore,Low,10--100,100,,,,,0,1,0,,1,long distance,,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0.153,US$/lbs,medium,Trawl / Fixed gear,Trawl / Fixed gear,Export,Export,0,Large,gulf,1,"Kodiak, Alaska",0,1,1,1,0,0,1,1,0,0,0,,,,0,0,0,0,1,1,,,8,2007,3,3,3 companies,,,,,0.54,0,1,0,1,0,0,0,0,1,,1,1,1,0,,0,1,0,1,1,1,1.5,2.9,2.5,1.8,1.1,0.21
45,Karly,34,0,11,Pacific Ocean perch,Sebastes  alutus,,,,,,,,,,Finfish-Benthic,above hard substrate (10-30m),,soft shelf (150-420m),Planktivore,Low,10--100,100,1,1,,,0,1,0,,1,,,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0.16,US$/lbs,low,Trawl / Fixed gear,Trawl / Fixed gear,Export,Export,0,Large,gulf,1,"Kodiak, Alaska",0,1,1,1,0,0,1,1,0,0,0,,,,0,0,0,0,1,1,,,4,2007,3,3,3 companies,,,,,0.54,0,1,0,1,0,0,0,0,1,,1,1,1,0,,0,1,0,1,1,0,0,2.3,0,0,1.2,0.14
46,Karly,35,0,5,Wahoo,Acanthocybium  solandri,,,,,,,,,,Finfish - Pelagic,Surface water,,Surface water,Carnivore,High,>1000,2000,1,0,0,0,0,0,,,,,,Guam,,,2773000000,,,0,,,,,0.423741237,1.177173491,,,0,,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,2.00 - 1.50,US$/lbs,low,Hook and line,Hook and line,Local market,Local market,0,,island,1,Hagåtña (Agana),0,1,1,0,1,1,1,1,0,0,0,0,,,0,0,0,0,1,,1,,4,1976,,,300,300,,,,1,0,,0,0,0,0,0,0,1,,0,1,0,,,1,1,0,0,0,1,2.4,3.3,1.8,1.5,1.2,0.14
47,Karly,35,0,5,Mahi Mahi,Coryphaena  hippurus,,,,,,,,,,Finfish - Pelagic,Surface water,,Surface water,Carnivore,High,100-1000,1000,1,1,0,,0,0,,,0,,0,Guam,,,2773000000,,,0,,,,,0.423741237,1.177173491,,,0,,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,1.75 - 1.25,US$/lbs,low,Hook and line,Hook and line,Local market,Local market,0,,island,1,Hagåtña (Agana),0,1,1,0,1,1,1,0,0,0,0,0,,,0,0,0,0,1,,1,,4,1976,,,300,300,,,,1,0,,0,0,0,0,0,0,1,,0,1,0,,,1,1,0,0,0,0,2.4,3.3,1.8,1.5,1.2,0.14
48,Karly,35,0,5,Skipjack tuna (bonita),Katsuwonus  pelamis,,,,,,,,,,Finfish - Pelagic,Surface water/ Deep water,,Surface water/ Deep water,Carnivore,Medium,100-1000,1000,1,1,0,,0,1,0,,0,20,0,Guam,,,2773000000,,,0,,,,,0.423741237,1.177173491,,,0,,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,1.25 - 0.50,US$/lbs,low,Hook and line,Hook and line,Local market / Export,Local market/Export,0,,island,1,Hagåtña (Agana),0,1,1,0,1,1,1,0,0,0,0,0,,,0,0,0,0,1,,1,,4,1976,,,300,300,,,,1,0,,0,0,0,0,0,0,1,,0,1,0,,,1,1,0,0,0,0,2.4,3.3,1.8,1.5,1.2,0.14
49,Karly,36,0,1,Alaska pollock,Theragra chalcogramma,,,91,benthopelagic,non-migratory,low,Reliable: based on ex-vessel price for this species,polar,3.45,Finfish - Pelagic,soft slope (200-2000m),,,Carnivore,Medium,100-1000,100,1,1,,,1,1,0,,1,long distance,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,Low,,low,Trawl,Trawl,Local market / Export,Local market/Export,0,Large,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,1,1,,,0,0,0,1,,,4,,7,7,,,0,tonnes biomass,,0.78,0,1,0,1,0,0,0,0,1,,1,1,1,0,,0,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
